Sample ,Reading 1,Reading 2,Reading 3,Mean,
Alocasia macrorrhizos ( Maan kochu ) ,1.39,1.45,1.41,1.42,
Amorphophallus  paeonifolius ( Ol kochu ),1.60,1.71,1.67,1.66,
Colocasia esculenta (L.) Schott ( Kalo Shula kochu ),1.33,3.46,4.28,3.02,
Colocasia esculenta ( Shada Shula kochu ),1.56,2.96,4.95,3.16,
Xanthosoma sagittifolium ( chini  kochu ),1.13,2.78,4.90,2.94,
Colocasia esculenta var. globulifera( Mukhi kochu ),1.29,1.27,1.29,1.28,
Alocasia fornicata ( bish kochu ),2.96,4.13,2.97,3.35,
Alocasia esculenta ( buno kochu ),3.10,3.97,3.67,3.58,
