Sample ,Reading 1,Reading 2,Reading 3,Mean,
Alocasia macrorrhizos ( Maan kochu ) ,35.5035,35.9859,36.5245,36.0046,
Amorphophallus  paeonifolius ( Ol kochu ),4.7504,5.0145,4.9836,4.9162,
Colocasia esculenta (L.) Schott ( Kalo Shula kochu ),27.6194,28.0835,28.1357,27.9462,
Colocasia esculenta ( Shada Shula kochu ),21.6855,21.7835,22.0167,21.8286,
Xanthosoma sagittifolium ( chini  kochu ),11.0511,11.8937,12.0078,11.6509,
Colocasia esculenta var. globulifera( Mukhi kochu ),32.8967,32.8736,32.9836,32.9180,
Alocasia fornicata ( bish kochu ),41.7625,41.7824,41.1526,41.5658,
Alocasia esculenta ( buno kochu ),43.8967,43.9867,43.1672,43.6835,
