Sample ,Reading 1,Reading 2,Reading 3,Mean,
Alocasia macrorrhizos ( Maan kochu ) ,18.5278,18.5423,18.5624,18.5442,
Amorphophallus  paeonifolius ( Ol kochu ),14.4115,14.5246,14.7625,14.5662,
Colocasia esculenta (L.) Schott ( Kalo Shula kochu ),26.0936,26.0947,26.6738,26.2874,
Colocasia esculenta ( Shada Shula kochu ),36.1037,36.7825,36.6724,36.5195,
Xanthosoma sagittifolium ( chini  kochu ),142.2306,142.9672,142.5734,142.5904,
Colocasia esculenta var. globulifera( Mukhi kochu ),10.3660,10.6734,10.6725,10.5706,
Alocasia fornicata ( bish kochu ),16.9856,16.7836,16.6724,16.8139,
Alocasia esculenta ( buno kochu ),21.8936,21.7826,21.8167,21.8310,
