Sample ,Reading 1,Reading 2,Reading 3,Mean,
Alocasia macrorrhizos ( Maan kochu ) ,64.3024,65.0947,64.9837,64.7936,
Amorphophallus  paeonifolius ( Ol kochu ),24.5695,25.0164,24.7835,24.7898,
Colocasia esculenta (L.) Schott ( Kalo Shula kochu ),93.4953,93.7367,94.3892,93.8737,
Colocasia esculenta ( Shada Shula kochu ),157.3907,156.5634,156.9936,156.9826,
Xanthosoma sagittifolium ( chini  kochu ),68.3588,67.3982,67.0158,67.5909,
Colocasia esculenta var. globulifera( Mukhi kochu ),72.8735,72.8946,72.9826,72.9169,
Alocasia fornicata ( bish kochu ),98.2545,99.4567,98.3245,98.6786,
Alocasia esculenta ( buno kochu ),108.4723,109.4683,109.8934,109.278,
