Sample ,Reading 1,Reading 2,Reading 3,
Alocasia macrorhiza ( Maan kochu ) ,0.0643,,,
Amorphallus campanulas ( Ol kochu ),0.0246,,,
Xanthosoma nigra ( Kalo Shula kochu ),0.0935,,,
Xanthosoma sagittifolium ( Shada Shula kochu ),0.1574,,,
Colocasia esculenta ( Aduri kochu ),0.0684,,,
Colocasia esculenta var. globulifera( Mukhi kochu ),0.0894,,,
