Sample ,Reading 1,Reading 2,Reading 3,Mean,
Alocasia macrorrhizos ( Maan kochu ) ,12.16,12.34,12.47,12.3233,
Amorphophallus  paeonifolius ( Ol kochu ),14.67,14.16,14.98,14.6033,
Colocasia esculenta (L.) Schott ( Kalo Shula kochu ),20.34,19.89,20.22,20.1500,
Colocasia esculenta ( Shada Shula kochu ),25.80,25.84,25.88,25.8400,
Xanthosoma sagittifolium ( chini  kochu ),23.76,23.71,23.83,23.7667,
Colocasia esculenta var. globulifera( Mukhi kochu ),20.88,20.34,20.19,20.4700,
Alocasia fornicata ( bish kochu ),22.67,23.05,22.97,22.8967,
Alocasia esculenta ( buno kochu ),23.84,23.93,23.73,23.8333,
