Sample ,Reading 1,Reading 2,Reading 3,Mean ,
Alocasia macrorrhizos ( Maan kochu ) ,10.58,10.23,10.45,10.42,
Amorphophallus  paeonifolius ( Ol kochu ),11.02,11.12,10.95,11.03,
Colocasia esculenta (L.) Schott ( Kalo Shula kochu ),9.16,9.04,9.09,9.10,
Colocasia esculenta ( Shada Shula kochu ),10.12,10.14,10.04,10.10,
Xanthosoma sagittifolium ( chini  kochu ),11.16,10.96,10.99,11.04,
Colocasia esculenta var. globulifera( Mukhi kochu ),11.87,11.67,11.59,11.71,
Alocasia fornicata ( bish kochu ),7.34,7.16,7.20,7.23,
Alocasia esculenta ( buno kochu ),6.96,6.59,6.82,6.79,
