Sample ,Reading 1,Reading 2,Reading 3,Mean,
Alocasia macrorrhizos ( Maan kochu ) ,30.57,30.58,30.56,30.57,
Amorphophallus  paeonifolius ( Ol kochu ),28.52,28.51,28.53,28.52,
Colocasia esculenta (L.) Schott ( Kalo Shula kochu ),27.00,27.01,26.99,27.00,
Colocasia esculenta ( Shada Shula kochu ),26.84,26.83,26.85,26.84,
Xanthosoma sagittifolium ( chini  kochu ),27.49,27.47,27.48,27.48,
Colocasia esculenta var. globulifera( Mukhi kochu ),24.32,24.31,24.33,24.32,
Alocasia fornicata ( bish kochu ),24.43,24.41,23.42,24.09,
Alocasia esculenta ( buno kochu ),26.88,26.87,26.89,26.88,
